"数学成績平均","教員数","パソコン台数","学生一人当たり学校予算"
648.900024414062,61.5999984741211,250,5169.81494140625
650.099975585938,108.349998474121,213,5951.005859375
653.099975585938,215,409,4746.572265625
654.599975585938,39.7999992370605,49,4944.09228515625
651.5,88.2699966430664,254,6306.4873046875
653.700012207031,22.5,35,4260.306640625
653.299987792969,15.8500003814697,36,4718.1630859375
652.099975585938,17.5,56,4751.2998046875
651.799987792969,11.0100002288818,30,5653.45361328125
651.299987792969,31,81,5920.25341796875
656.799987792969,150,374,4825.5908203125
650.599975585938,107.209999084473,268,5532.58203125
648.599975585938,6.05000019073486,7,3926.06958007812
653.5,61.9900016784668,164,5805.63671875
656.5,201.970001220703,500,4899.23974609375
655.5,9.25,19,4884.8623046875
656.200012207031,229.199996948242,618,5139.9375
647.599975585938,5,13,5249.36474609375
660.099975585938,10.3000001907349,17,5399.0703125
652.700012207031,199.860000610352,241,4965.2900390625
649.700012207031,18.0499992370605,67,6210.3232421875
649.599975585938,43.5,96,4797.50341796875
655.200012207031,408.200012207031,1120,5397.16162109375
657.700012207031,20.1000003814697,72,5078.5
653.099975585938,329.119995117188,624,4733.74658203125
657.599975585938,18.7999992370605,73,4963.06005859375
649.099975585938,138.119995117188,192,5431.17724609375
659.799987792969,29.6499996185303,60,5382.0888671875
649.599975585938,26,78,5724.44189453125
655.799987792969,240.100006103516,626,4843.42724609375
658.700012207031,42.8400001525879,118,5730.34912109375
655.200012207031,10.210000038147,20,5635.7861328125
654.400024414062,35.125,155,5671.6572265625
657.900024414062,96,435,7070.63330078125
651.900024414062,37,50,5097.34326171875
650.200012207031,36.8499984741211,148,5482.67724609375
656.900024414062,188.199996948242,419,5642.83203125
656.400024414062,924.570007324219,2401,5280.0234375
656.700012207031,386.420013427734,1158,5433.33984375
653.299987792969,8,34,4529.28369140625
649.900024414062,6,42,6039.98583984375
642.200012207031,8.69999980926514,37,6168.2294921875
650.900024414062,27.2000007629395,30,5774.97021484375
655.599975585938,140.110000610352,296,4806.76171875
655.299987792969,28.5,46,4840.93603515625
660.5,242.5,474,4954.46630859375
657.299987792969,278.839996337891,622,4023.53173828125
659,81.2799987792969,122,5179.4111328125
652.700012207031,19.7999992370605,56,4385.2294921875
662.5,153.199996948242,328,4777.5126953125
656.299987792969,7.19999980926514,32,4862.79052734375
663.200012207031,588.840026855469,1507,5486.02978515625
656.200012207031,51.6699981689453,129,5486.38232421875
660.400024414062,103,224,4631.24365234375
656,73.3000030517578,141,5189.6279296875
658.799987792969,27.7999992370605,60,4600.6064453125
658.799987792969,52.6399993896484,140,6735.775390625
659.400024414062,68.6500015258789,107,5475.1728515625
658.400024414062,7,23,5990.79443359375
647.099975585938,35.7625007629395,78,7203.24658203125
660.599975585938,27.6000003814697,60,4777.76904296875
652.799987792969,11.1199998855591,51,4302.8349609375
654.599975585938,26,150,5630.19482421875
659.799987792969,308.679992675781,496,4708.625
661.599975585938,13.9899997711182,62,5629.96142578125
660.900024414062,115.300003051758,302,4890.98681640625
664.099975585938,549.840026855469,1790,4929.39306640625
650.799987792969,27.4300003051758,46,4905.22119140625
663.599975585938,620.380004882812,1671,5156.85693359375
658.299987792969,178.059997558594,529,4941.78759765625
661,47.5800018310547,70,5408.78173828125
659.5,277.670013427734,489,4981.3876953125
661.299987792969,5.73000001907349,16,4877.08642578125
663.5,76.9899978637695,125,5111.7392578125
661.700012207031,24.5,95,5201.515625
673.400024414062,8,39,4138.3056640625
659.5,22,50,5743.59716796875
661.5,164.309997558594,411,5702.705078125
663.400024414062,239.399993896484,576,4802.15283203125
655.700012207031,35.9500007629395,100,5442.14306640625
667,170.649993896484,335,4522.37548828125
663,45.2000007629395,78,4965.80810546875
658.400024414062,26.6499996185303,60,5358.326171875
657.5,46.6500015258789,105,5784.625
659.299987792969,88.5500030517578,143,5072.70458984375
662.599975585938,62.2999992370605,190,5556.041015625
666.799987792969,27.3500003814697,58,5190.31005859375
661.299987792969,66.5699996948242,263,5211.4853515625
668.299987792969,65.1100006103516,113,5284.1640625
670.099975585938,46,127,5331.9208984375
661.799987792969,114.300003051758,258,5599.60791015625
659.299987792969,14.1999998092651,81,4881.8994140625
657,15.5,85,4700.43212890625
661.599975585938,159.220001220703,308,5650
654.599975585938,47.9599990844727,114,5318.24072265625
665.400024414062,327.299987792969,814,4709.05419921875
665.799987792969,35.5,54,5143.1904296875
663.900024414062,89,206,5133.009765625
665.799987792969,489.299987792969,1113,5081.45556640625
662.299987792969,5,10,4016.41625976562
664,565.510009765625,1150,5374.05029296875
663.400024414062,236.580001831055,494,5427.548828125
674.200012207031,29.4400005340576,114,5179.64453125
660.900024414062,138,326,5400
667.400024414062,286.799987792969,756,5726.146484375
661.5,33.5,47,5003.8701171875
667.400024414062,700.940002441406,1962,4969.51123046875
664,305,706,4747.2958984375
663.400024414062,33.7000007629395,87,4543.30517578125
665.299987792969,124.069999694824,193,5229.59130859375
660.400024414062,8,14,4507.35302734375
661.299987792969,29.6000003814697,48,5302.6279296875
664.099975585938,35.7299995422363,82,5545.6103515625
661.900024414062,46.9700012207031,160,4615.90869140625
669.5,360.5,0,5397.689453125
661.200012207031,11,15,5118.373046875
665.799987792969,356.820007324219,785,5008.07080078125
671.299987792969,46.6599998474121,95,4906.0302734375
666.799987792969,10.8800001144409,38,6870.34619140625
662.400024414062,83.4000015258789,220,5301.71630859375
666.599975585938,108.75,307,5182.36572265625
664.599975585938,71.8300018310547,65,4999.46875
662.700012207031,12.5500001907349,30,6732.06640625
667.900024414062,65.2125015258789,259,4612.98974609375
666,22,65,5478.845703125
666.599975585938,245.179992675781,637,5666.7138671875
675.700012207031,9,15,4742.51416015625
671,31,92,4907.392578125
664.5,25,75,5700.40234375
668.5,50.75,145,5191.83447265625
669.099975585938,5.5,10,4451.2568359375
671.599975585938,73.129997253418,0,5627.52783203125
672.400024414062,232.75,586,4922.93994140625
672.099975585938,146.5,379,4969.380859375
669.700012207031,286.920013427734,540,4829.71728515625
657.700012207031,23.2999992370605,39,6716.69287109375
665.400024414062,139.300003051758,615,5205.94189453125
674.099975585938,9.76000022888184,37,4357.826171875
669.5,6.59999990463257,17,5195.9189453125
666.5,9,41,6002.07177734375
670.700012207031,65.9000015258789,116,5090.587890625
670.799987792969,135.350006103516,249,5112.39013671875
668.599975585938,253.89599609375,753,5287.35498046875
671.299987792969,288.630004882812,930,4889.47998046875
668,45,122,5118.13037109375
668.299987792969,186.100006103516,934,5119.123046875
671.799987792969,306.380004882812,855,4792.21142578125
665.700012207031,34.8400001525879,47,5450.103515625
663.599975585938,8.39999961853027,23,5210.724609375
674.599975585938,407.700012207031,834,4715.44580078125
670.700012207031,89.0899963378906,231,4632.068359375
664.200012207031,70.5,183,5028.5615234375
671.599975585938,8,32,5695.466796875
668,127.110000610352,343,4504.294921875
670.200012207031,30.0799999237061,103,5156.43701171875
676.5,52.5999984741211,135,5433.51416015625
670.099975585938,15.4300003051758,42,5254.6318359375
672.200012207031,9,24,4593.19677734375
675.700012207031,10.1000003814697,49,4320.6787109375
669.299987792969,36,117,4920.77734375
667,11.6000003814697,50,6905.869140625
671.5,138.309997558594,482,5729.904296875
670.5,154.169998168945,290,4825.2021484375
666.599975585938,11,21,5388.17041015625
676.599975585938,23.1000003814697,29,5133.8271484375
677.299987792969,9.30000019073486,27,5346.15625
672.5,37.7400016784668,103,4789.30908203125
669.799987792969,47.9000015258789,105,5329.7822265625
668.400024414062,33.1800003051758,75,5371.1728515625
672.200012207031,7.34999990463257,40,5771.3837890625
679.299987792969,102.779998779297,318,4993.634765625
679.900024414062,16.2800006866455,42,4854.0380859375
673.200012207031,21.5,50,4392.6796875
681.099975585938,25.5,50,5884.43212890625
675.5,15.3500003814697,70,4273.9931640625
677.400024414062,80.2399978637695,165,5146.7841796875
673.200012207031,20.4500007629395,49,5351.52294921875
671.5,5.09999990463257,14,7667.57177734375
678.599975585938,262.230010986328,701,5281.708984375
674.700012207031,108.959999084473,223,5368.5029296875
682.200012207031,8.89999961853027,31,6429.25732421875
676.200012207031,49.1699981689453,310,5387.458984375
680.799987792969,141.020004272461,300,5235.77490234375
679.400024414062,46.8899993896484,141,4829.896484375
674.400024414062,46,216,5088.7080078125
676.700012207031,39.7019996643066,220,5390.1181640625
679.799987792969,10.5100002288818,35,6588.4306640625
681.799987792969,10.9200000762939,29,6196.69482421875
674.700012207031,7.07999992370605,25,4645.4130859375
674,62.060001373291,113,6489.9287109375
682.5,6,27,5094.958984375
684.900024414062,32,55,4841.95849609375
679.5,99.5999984741211,283,6315.3125
678,7.80000019073486,15,5399.38330078125
684.299987792969,127.220001220703,439,5429.4736328125
682.299987792969,28.0200004577637,33,5644.2861328125
688.200012207031,6.90999984741211,44,6060.2568359375
680.200012207031,12.6000003814697,30,5319.5537109375
687.400024414062,158.399993896484,406,4819.90380859375
683.700012207031,57,0,5208.22607421875
679.900024414062,53.560001373291,155,5859.96484375
690.299987792969,708.830017089844,2232,4962.73681640625
681.299987792969,4.84999990463257,21,7614.37939453125
686.599975585938,141.399993896484,540,5566.4677734375
688.599975585938,31,84,7039.94921875
695,146.300003051758,404,6604.06396484375
690.099975585938,111.819999694824,265,6180.14892578125
692,65.120002746582,272,6460.6572265625
694.900024414062,132.199996948242,403,6415.35498046875
691.700012207031,172.339996337891,496,5230.876953125
695.299987792969,115.300003051758,300,5838.171875
689.299987792969,32.8699989318848,112,7711.5068359375
695.700012207031,98.4199981689453,241,5592.76513671875
697.299987792969,139.470001220703,466,5933.154296875
701.099975585938,87.0599975585938,412,7593.40576171875
703.599975585938,12.3299999237061,22,6500.44970703125
699.900024414062,44.5900001525879,209,7217.26318359375
701.700012207031,124.089996337891,286,5392.638671875
707.700012207031,59.7299995422363,195,7290.3388671875
709.5,208.479995727539,721,5741.462890625
641.700012207031,20.1499996185303,45,4402.83154296875
676.5,5,14,4776.33642578125
651,93.4000015258789,313,5993.392578125
